Segment,Q1.a,Q4.a.3,Q4.a.4,Q4.a.5,Q4.a.6,Q4.a.10,Q4.a.17,Q8.a.1,Q8.a.2,Q8.a.6,Q8.a.8,Q9.a.2,Q9.a.3,Q9.a.4,Q9.a.5,Q9.a.6,Q9.a.8,Q23.a,Q24.a.1
5,2.610564909,1.740376606,1.740376606,1.740376606,3.480753212,1.740376606,2.610564909,4.350941515,3.480753212,1.740376606,3.480753212,1.740376606,1.740376606,1.740376606,1.740376606,0.870188303,1.740376606,0.870188303,2.610564909
5,1.410196999,0.940131333,0.470065666,0.470065666,1.410196999,0.940131333,0.940131333,2.350328331,2.350328331,0.940131333,0.470065666,1.410196999,0.470065666,0.470065666,0.940131333,0.940131333,0.470065666,0.470065666,1.880262665
3,1.693001866,1.693001866,1.693001866,1.693001866,4.232504665,1.693001866,3.386003732,3.386003732,2.539502799,1.693001866,0.846500933,1.693001866,1.693001866,2.539502799,2.539502799,1.693001866,1.693001866,0.846500933,3.386003732
4,2.371202272,2.371202272,2.371202272,3.556803408,4.742404545,3.556803408,3.556803408,1.185601136,4.742404545,4.742404545,1.185601136,1.185601136,2.371202272,2.371202272,2.371202272,1.185601136,2.371202272,1.185601136,4.742404545
5,5.02912178,5.02912178,1.257280445,5.02912178,1.257280445,1.257280445,1.257280445,1.257280445,1.257280445,2.51456089,6.286402225,1.257280445,2.51456089,1.257280445,1.257280445,2.51456089,1.257280445,3.771841335,1.257280445
5,2.353406363,2.353406363,2.353406363,3.530109544,5.883515907,3.530109544,3.530109544,3.530109544,3.530109544,3.530109544,1.176703181,2.353406363,2.353406363,2.353406363,2.353406363,2.353406363,2.353406363,1.176703181,4.706812725
5,3.628925046,1.209641682,1.209641682,2.419283364,2.419283364,1.209641682,2.419283364,6.048208409,1.209641682,6.048208409,1.209641682,2.419283364,1.209641682,2.419283364,2.419283364,1.209641682,1.209641682,1.209641682,4.838566728
5,2.371202272,4.742404545,3.556803408,3.556803408,2.371202272,4.742404545,4.742404545,3.556803408,2.371202272,2.371202272,5.928005681,2.371202272,1.185601136,1.185601136,1.185601136,1.185601136,1.185601136,2.371202272,2.371202272
5,2.220971178,3.331456767,2.220971178,2.220971178,1.110485589,2.220971178,2.220971178,4.441942356,3.331456767,3.331456767,4.441942356,1.110485589,2.220971178,1.110485589,2.220971178,1.110485589,2.220971178,1.110485589,2.220971178
4,1.649522645,3.29904529,3.29904529,2.474283968,0.824761323,2.474283968,0.824761323,0.824761323,4.123806613,0.824761323,0.824761323,1.649522645,1.649522645,1.649522645,1.649522645,1.649522645,1.649522645,0.824761323,2.474283968
3,4.399983682,1.466661227,1.466661227,1.466661227,4.399983682,1.466661227,4.399983682,7.333306137,2.933322455,7.333306137,4.399983682,4.399983682,4.399983682,4.399983682,1.466661227,1.466661227,4.399983682,1.466661227,1.466661227
5,0.819524074,3.278096297,1.639048149,1.639048149,1.639048149,1.639048149,2.458572223,3.278096297,4.097620372,1.639048149,1.639048149,0.819524074,0.819524074,1.639048149,1.639048149,1.639048149,1.639048149,0.819524074,1.639048149
4,3.830470751,2.553647167,1.276823584,5.107294335,5.107294335,2.553647167,5.107294335,5.107294335,1.276823584,6.384117918,1.276823584,3.830470751,3.830470751,3.830470751,3.830470751,3.830470751,3.830470751,1.276823584,3.830470751
1,1.047175259,1.047175259,1.047175259,2.094350519,4.188701037,1.047175259,2.094350519,5.235876297,1.047175259,5.235876297,1.047175259,1.047175259,1.047175259,1.047175259,1.047175259,1.047175259,1.047175259,1.047175259,4.188701037
4,1.985378287,1.985378287,0.661792762,1.323585525,2.64717105,0.661792762,1.323585525,3.308963812,0.661792762,2.64717105,0.661792762,0.661792762,1.323585525,0.661792762,1.323585525,0.661792762,1.323585525,0.661792762,2.64717105
3,3.446478468,0.861619617,0.861619617,0.861619617,3.446478468,1.723239234,4.308098085,2.584858851,1.723239234,3.446478468,2.584858851,2.584858851,0.861619617,0.861619617,1.723239234,0.861619617,2.584858851,0.861619617,3.446478468
3,1.614172168,0.807086084,1.614172168,1.614172168,1.614172168,1.614172168,1.614172168,4.035430421,1.614172168,2.421258252,0.807086084,1.614172168,1.614172168,1.614172168,1.614172168,1.614172168,1.614172168,0.807086084,2.421258252
3,6.405511839,1.60137796,1.60137796,3.202755919,6.405511839,1.60137796,1.60137796,8.006889799,4.804133879,8.006889799,8.006889799,3.202755919,3.202755919,3.202755919,3.202755919,3.202755919,3.202755919,1.60137796,1.60137796
4,1.01941763,0.339805877,0.339805877,0.339805877,1.699029384,0.339805877,1.01941763,1.699029384,0.339805877,1.699029384,0.339805877,0.679611754,0.679611754,0.679611754,0.679611754,0.679611754,0.679611754,0.339805877,0.679611754
5,4.676195248,0.93523905,0.93523905,0.93523905,3.740956198,0.93523905,0.93523905,0.93523905,0.93523905,0.93523905,0.93523905,1.870478099,1.870478099,1.870478099,1.870478099,1.870478099,1.870478099,0.93523905,3.740956198
3,0.856148318,0.856148318,0.856148318,0.856148318,2.568444954,0.856148318,0.856148318,4.28074159,0.856148318,4.28074159,3.424593272,1.712296636,1.712296636,1.712296636,1.712296636,1.712296636,1.712296636,0.856148318,1.712296636
5,3.623777824,1.811888912,0.905944456,2.717833368,3.623777824,2.717833368,2.717833368,2.717833368,2.717833368,1.811888912,0.905944456,2.717833368,2.717833368,2.717833368,2.717833368,2.717833368,2.717833368,0.905944456,1.811888912
5,1.979208726,0.989604363,0.989604363,1.979208726,0.989604363,1.979208726,2.968813089,1.979208726,4.948021816,3.958417452,2.968813089,0.989604363,0.989604363,0.989604363,0.989604363,0.989604363,0.989604363,0.989604363,0.989604363
3,1.182102859,0.59105143,0.59105143,1.773154289,1.773154289,0.59105143,0.59105143,2.364205719,2.364205719,2.364205719,1.773154289,1.182102859,0.59105143,0.59105143,0.59105143,1.182102859,0.59105143,0.59105143,1.773154289
5,2.479446452,2.479446452,3.719169678,2.479446452,1.239723226,2.479446452,2.479446452,4.958892904,4.958892904,4.958892904,4.958892904,1.239723226,1.239723226,1.239723226,1.239723226,1.239723226,1.239723226,2.479446452,1.239723226
5,2.522778301,1.26138915,2.522778301,1.26138915,5.045556601,1.26138915,2.522778301,6.306945752,3.784167451,6.306945752,1.26138915,2.522778301,2.522778301,2.522778301,2.522778301,2.522778301,2.522778301,1.26138915,6.306945752
5,1.603922148,3.207844296,1.603922148,2.405883222,0.801961074,1.603922148,1.603922148,1.603922148,2.405883222,2.405883222,3.207844296,1.603922148,1.603922148,0.801961074,1.603922148,0.801961074,1.603922148,0.801961074,1.603922148
5,0.370717476,0.370717476,0.370717476,0.370717476,0.741434953,0.370717476,1.853587382,1.482869905,0.370717476,1.853587382,1.482869905,0.741434953,0.741434953,0.741434953,0.741434953,0.741434953,0.741434953,0.370717476,0.370717476
4,2.573674888,1.286837444,1.286837444,2.573674888,3.860512332,2.573674888,3.860512332,2.573674888,1.286837444,6.434187219,1.286837444,1.286837444,3.860512332,1.286837444,3.860512332,1.286837444,1.286837444,1.286837444,2.573674888
3,4.084094977,1.021023744,3.063071233,2.042047488,2.042047488,1.021023744,3.063071233,1.021023744,2.042047488,1.021023744,2.042047488,2.042047488,2.042047488,2.042047488,2.042047488,2.042047488,2.042047488,1.021023744,2.042047488
3,4.658788817,1.164697204,1.164697204,1.164697204,3.494091613,1.164697204,1.164697204,1.164697204,5.823486021,2.329394408,2.329394408,1.164697204,1.164697204,1.164697204,1.164697204,1.164697204,3.494091613,1.164697204,4.658788817
3,1.090389362,0.363463121,0.363463121,0.363463121,1.090389362,0.363463121,1.817315603,1.817315603,1.817315603,1.090389362,0.363463121,0.363463121,0.363463121,0.363463121,0.363463121,0.363463121,0.726926241,0.363463121,0.726926241
5,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,1.741797295,2.322396394,2.322396394,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,1.161198197,0.580599098,2.902995492
5,1.323585525,0.661792762,0.661792762,0.661792762,0.661792762,0.661792762,1.323585525,1.323585525,1.323585525,1.985378287,0.661792762,1.323585525,1.985378287,1.323585525,1.323585525,1.323585525,1.323585525,0.661792762,1.323585525
5,3.719169678,3.719169678,3.719169678,2.479446452,1.239723226,3.719169678,4.958892904,4.958892904,4.958892904,6.19861613,4.958892904,2.479446452,3.719169678,2.479446452,2.479446452,2.479446452,1.239723226,2.479446452,2.479446452
5,0.664081365,0.996122048,0.332040683,0.664081365,1.32816273,0.996122048,0.664081365,0.332040683,0.332040683,0.332040683,1.660203413,0.996122048,0.996122048,0.996122048,0.996122048,0.996122048,0.332040683,0.664081365,0.996122048
5,1.281304783,0.640652391,0.640652391,0.640652391,1.921957174,0.640652391,0.640652391,3.203261957,3.203261957,2.562609566,3.203261957,0.640652391,0.640652391,0.640652391,0.640652391,0.640652391,0.640652391,0.640652391,2.562609566
5,1.899803845,0.949901923,0.949901923,1.899803845,1.899803845,0.949901923,1.899803845,0.949901923,4.749509613,0.949901923,0.949901923,1.899803845,0.949901923,1.899803845,1.899803845,0.949901923,0.949901923,0.949901923,1.899803845
4,1.143163745,1.143163745,3.429491235,2.28632749,5.715818725,3.429491235,5.715818725,4.57265498,4.57265498,3.429491235,1.143163745,1.143163745,1.143163745,1.143163745,2.28632749,1.143163745,2.28632749,1.143163745,3.429491235
5,3.761871379,1.880935689,1.880935689,1.880935689,3.761871379,1.880935689,3.761871379,9.404678447,3.761871379,9.404678447,5.642807068,1.880935689,3.761871379,3.761871379,5.642807068,5.642807068,5.642807068,1.880935689,3.761871379
4,2.46809196,2.46809196,1.23404598,2.46809196,4.936183919,2.46809196,3.702137939,4.936183919,2.46809196,4.936183919,1.23404598,1.23404598,2.46809196,2.46809196,2.46809196,2.46809196,2.46809196,1.23404598,3.702137939
4,1.712296636,0.856148318,0.856148318,1.712296636,2.568444954,1.712296636,2.568444954,3.424593272,1.712296636,2.568444954,0.856148318,0.856148318,1.712296636,0.856148318,1.712296636,0.856148318,1.712296636,0.856148318,2.568444954
4,1.807811203,0.903905601,0.903905601,0.903905601,3.615622406,0.903905601,0.903905601,4.519528007,2.711716804,2.711716804,0.903905601,1.807811203,1.807811203,1.807811203,1.807811203,1.807811203,1.807811203,0.903905601,3.615622406
5,2.454083136,2.454083136,1.227041568,3.681124704,3.681124704,3.681124704,3.681124704,2.454083136,2.454083136,2.454083136,2.454083136,2.454083136,2.454083136,3.681124704,3.681124704,2.454083136,3.681124704,1.227041568,4.908166272
3,2.13223621,1.066118105,1.066118105,1.066118105,4.26447242,1.066118105,2.13223621,5.330590525,2.13223621,4.26447242,1.066118105,2.13223621,2.13223621,2.13223621,2.13223621,1.066118105,2.13223621,1.066118105,4.26447242
4,1.649522645,3.29904529,0.824761323,2.474283968,4.123806613,1.649522645,4.123806613,4.123806613,4.123806613,2.474283968,2.474283968,2.474283968,0.824761323,0.824761323,0.824761323,0.824761323,0.824761323,0.824761323,1.649522645
4,2.276416601,0.758805534,0.758805534,1.517611067,3.035222134,0.758805534,2.276416601,0.758805534,1.517611067,3.035222134,0.758805534,1.517611067,1.517611067,1.517611067,1.517611067,1.517611067,1.517611067,0.758805534,1.517611067
5,4.958892904,2.479446452,2.479446452,3.719169678,2.479446452,2.479446452,3.719169678,6.19861613,6.19861613,4.958892904,6.19861613,2.479446452,3.719169678,2.479446452,2.479446452,2.479446452,1.239723226,1.239723226,6.19861613
5,2.69543697,0.89847899,0.89847899,0.89847899,2.69543697,1.79695798,3.59391596,2.69543697,3.59391596,1.79695798,0.89847899,1.79695798,0.89847899,0.89847899,0.89847899,0.89847899,1.79695798,0.89847899,1.79695798
4,4.868996024,1.622998675,1.622998675,1.622998675,3.245997349,1.622998675,4.868996024,8.114993374,3.245997349,8.114993374,1.622998675,3.245997349,3.245997349,3.245997349,3.245997349,3.245997349,3.245997349,3.245997349,6.491994699
5,2.454421472,1.636280982,1.636280982,1.636280982,2.454421472,1.636280982,3.272561963,4.090702454,1.636280982,4.090702454,1.636280982,1.636280982,1.636280982,1.636280982,1.636280982,1.636280982,1.636280982,0.818140491,3.272561963
5,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,5.602099777,5.602099777,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955,1.120419955
3,2.315594609,1.157797305,1.157797305,1.157797305,1.157797305,1.157797305,4.631189219,4.631189219,4.631189219,4.631189219,4.631189219,2.315594609,2.315594609,2.315594609,2.315594609,2.315594609,2.315594609,1.157797305,1.157797305
4,4.419655318,2.946436879,2.946436879,2.946436879,4.419655318,1.473218439,1.473218439,7.366092197,1.473218439,7.366092197,1.473218439,2.946436879,2.946436879,2.946436879,4.419655318,4.419655318,2.946436879,1.473218439,2.946436879
4,2.86791709,1.911944726,0.955972363,0.955972363,3.823889453,0.955972363,0.955972363,0.955972363,3.823889453,0.955972363,4.779861816,2.86791709,1.911944726,1.911944726,2.86791709,2.86791709,2.86791709,0.955972363,3.823889453
2,1.289636874,1.289636874,1.289636874,1.934455312,1.934455312,1.289636874,1.934455312,2.579273749,1.934455312,1.934455312,1.289636874,1.934455312,1.934455312,1.934455312,1.934455312,0.644818437,0.644818437,0.644818437,1.289636874
4,2.770517326,1.84701155,0.923505775,2.770517326,3.694023101,1.84701155,0.923505775,4.617528876,3.694023101,4.617528876,4.617528876,0.923505775,1.84701155,0.923505775,1.84701155,0.923505775,1.84701155,0.923505775,3.694023101
